ORIGIN;DESTINATION;DATE;FLIGHT COUNT;;;;;;;;;;;;;
ABQ;ATL;01/01/2019;2;;;;;;;;;;;;;
ABQ;ATL;01/02/2019;3;;;;;;;;;;;;;
ABQ;ATL;01/03/2019;2;;;;;;;;;;;;;
ABQ;ATL;01/04/2019;2;;;;;;;;;;;;;
ABQ;ATL;01/05/2019;1;;;;;;;;;;;;;
ABQ;ATL;01/06/2019;2;;;;;;;;;;;;;
ABQ;ATL;01/07/2019;2;;;;;;;;;;;;;
ABQ;ATL;01/08/2019;2;;;;;;;;;;;;;
ABQ;ATL;01/09/2019;2;;;;;;;;;;;;;
ABQ;ATL;01/10/2019;2;;;;;;;;;;;;;
ABQ;ATL;01/11/2019;2;;;;;;;;;;;;;
ABQ;ATL;01/12/2019;1;;;;;;;;;;;;;
ABQ;ATL;01/13/2019;2;;;;;;;;;;;;;
ABQ;ATL;01/14/2019;2;;;;;;;;;;;;;
ABQ;ATL;01/15/2019;2;;;;;;;;;;;;;
ABQ;ATL;01/16/2019;2;;;;;;;;;;;;;
ABQ;ATL;01/17/2019;2;;;;;;;;;;;;;
ABQ;ATL;01/18/2019;2;;;;;;;;;;;;;
ABQ;ATL;01/19/2019;1;;;;;;;;;;;;;
ABQ;ATL;01/20/2019;1;;;;;;;;;;;;;
ABQ;ATL;01/21/2019;2;;;;;;;;;;;;;
ABQ;ATL;01/22/2019;2;;;;;;;;;;;;;
ABQ;ATL;01/23/2019;2;;;;;;;;;;;;;
ABQ;ATL;01/24/2019;2;;;;;;;;;;;;;
ABQ;ATL;01/25/2019;2;;;;;;;;;;;;;
ABQ;ATL;01/26/2019;1;;;;;;;;;;;;;
ABQ;ATL;01/27/2019;2;;;;;;;;;;;;;
ABQ;ATL;01/28/2019;2;;;;;;;;;;;;;
ABQ;ATL;01/29/2019;2;;;;;;;;;;;;;
ABQ;ATL;01/30/2019;2;;;;;;;;;;;;;
ABQ;ATL;01/31/2019;2;;;;;;;;;;;;;
ABQ;AUS;01/02/2019;2;;;;;;;;;;;;;
ABQ;AUS;01/03/2019;1;;;;;;;;;;;;;
ABQ;AUS;01/06/2019;4;;;;;;;;;;;;;
ABQ;AUS;01/10/2019;1;;;;;;;;;;;;;
ABQ;AUS;01/11/2019;1;;;;;;;;;;;;;
ABQ;AUS;01/13/2019;4;;;;;;;;;;;;;
ABQ;AUS;01/17/2019;1;;;;;;;;;;;;;
